species;genus;family;body.size.avg;bs.metric;fecundity.avg;egg.diam.avg;notes;burrow.lough;traditional.burrow.classification;combined.burrow.classification
Ombrastacoides huonensis;Ombrastacoides;parastacidae;31;ocl;56;2.45;null;Burrower;Secondary burrower;Semi-terrestrial burrower
Procambarus alleni;Procambarus;cambaridae;44.3;cl;166.75;2;null;Non-burrower;Secondary burrower;Semi-terrestrial burrower
Procambarus clarkii;Procambarus;cambaridae;43.67;cl;356.75;2;null;Non-burrower;Secondary burrower;Semi-terrestrial burrower
Procambarus fallax;Procambarus;cambaridae;22.75;cl;95.625;1.725;null;Non-burrower;Secondary burrower;Semi-terrestrial burrower
Procambarus pubischelae;Procambarus;cambaridae;24.6;cl;119.83;1.7;null;Non-burrower;Secondary burrower;Semi-terrestrial burrower
Procambarus pygmaeus;Procambarus;cambaridae;21.65;cl;25.5;1.7;null;Non-burrower;Secondary burrower;Semi-terrestrial burrower
Astacoides caldwelli;Astacoides;parastacidae;56.32;cl;147.36;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Astacopsis franklinii;Astacopsis;parastacidae;45.27;cl;77.08;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Astacopsis gouldi;Astacopsis;parastacidae;133.54;cl;1231;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Astacus astacus;Astacus;astacidae;49.66;cl;132.72;2.8;null;Non-burrower;Tertiary burrower;Open-water burrower
Astacus leptodactylus;Astacus;astacidae;49.75;cl;226.375;2.739;null;Non-burrower;Tertiary burrower;Open-water burrower
Austropotamobius pallipes;Austropotamobius;astacidae;34.51;cl;63.68;2.39;null;Non-burrower;Tertiary burrower;Open-water burrower
Austropotamobius torrentium;Austropotamobius;astacidae;33.25;cl;53.04;2.772;null;Non-burrower;Tertiary burrower;Open-water burrower
Barbicambarus cornutus;Barbicambarus;cambaridae;50.27;cl;233.5;2.8;null;Non-burrower;Tertiary burrower;Open-water burrower
Barbicambarus simmonsi;Barbicambarus;cambaridae;59.4;cl;265.5;3;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarellus montezumae;Cambarellus;cambaridae;13.9;cl;43;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarellus puer;Cambarellus;cambaridae;18.02;cl;60.43;1.025;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarellus shufeldtii;Cambarellus;cambaridae;15.39;cl;64.275;1.05;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambaroides japonicus;Cambaroides;cambaroididae;18.41;cl;45.23;2.315;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus chasmodactylus;Cambarus;cambaridae;41.3;cl;66.65;2.7;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus coosae;Cambarus;cambaridae;28.91;cl;112.88;2.3;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus coosawattae;Cambarus;cambaridae;25.725;cl;55.27;2.5;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus fasciatus;Cambarus;cambaridae;36.14;cl;117.4;2.45;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus georgiae;Cambarus;cambaridae;24.6;cl;73;2.45;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus girardianus;Cambarus;cambaridae;33.71;cl;156.14;2.35;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus graysoni;Cambarus;cambaridae;28.7;ocl;105;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus halli;Cambarus;cambaridae;30.525;cl;138.105;2.335;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus hiwasseensis;Cambarus;cambaridae;30.1;cl;63;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus howardi;Cambarus;cambaridae;22.5;cl;58.25;2.25;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus hubbsi;Cambarus;cambaridae;25.33;cl;55.995;2.4;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus longirostris;Cambarus;cambaridae;24.46;cl;47.3;2.2;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus longulus;Cambarus;cambaridae;21.92;cl;65.66;2;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus maculatus;Cambarus;cambaridae;32.31;cl;79.615;2.65;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus nerterius;Cambarus;cambaridae;39;cl;165;2.25;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus parrishi;Cambarus;cambaridae;28.43;cl;76.66;2.4;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus reburrus;Cambarus;cambaridae;26;cl;109;2.05;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus reflexus;Cambarus;cambaridae;35;cl;45;2.35;null;Burrower;Tertiary burrower;Open-water burrower
Cambarus robustus;Cambarus;cambaridae;36.93;cl;123.5;2.625;null;Non-burrower;Tertiary burrower;Open-water burrower
