species;genus;family;body.size.avg;bs.metric;fecundity.avg;egg.diam.avg;burrowing.status;alastair.classification;loughman.burrow.status.morphology;stern.phylogeny;notes;burrow.ala;burrow.lough;burrow;traditional.burrow.classification;combined.burrow.classification
Euastacus jagara;Euastacus;parastacidae;40.4;ocl;60.5;;;3;0;1;;water;Non-burrower;0;secondary_burrower;strongly_burrowing
Euastacus mirangudjin;Euastacus;parastacidae;35.13;ocl;67;;;3;0;1;;water;Non-burrower;0;secondary_burrower;strongly_burrowing
Euastacus spinichelatus;Euastacus;parastacidae;29;ocl;30;;;3;0;1;;water;Non-burrower;0;secondary_burrower;strongly_burrowing
Euastacus urospinosus;Euastacus;parastacidae;32;ocl;40;;;3;0;1;Only have body size min;water;Non-burrower;0;secondary_burrower;strongly_burrowing
Euastacus valentulus;Euastacus;parastacidae;50.9;ocl;480;;;3;0;1;;water;Non-burrower;0;secondary_burrower;strongly_burrowing
Faxonella clypeata;Faxonella;cambaridae;13.76;cl;14.2;;primary.burrow;2;0;1;;half;Non-burrower;0;secondary_burrower;strongly_burrowing
Lacunicambarus acanthura;Lacunicambarus;cambaridae;34.78;cl;154;2.27;primary.burrow;1;1;1;;bur;Burrower;1;secondary_burrower;strongly_burrowing
Ombrastacoides huonensis;Ombrastacoides;parastacidae;31;ocl;56;2.45;primary.burrow;1;1;1;;bur;Burrower;1;secondary_burrower;strongly_burrowing
Procambarus alleni;Procambarus;cambaridae;44.3;cl;166.75;2;;3;0;1;;water;Non-burrower;0;secondary_burrower;strongly_burrowing
Procambarus clarkii;Procambarus;cambaridae;43.67;cl;356.75;2;;3;0;1;;water;Non-burrower;0;secondary_burrower;strongly_burrowing
Procambarus fallax;Procambarus;cambaridae;22.75;cl;95.625;1.725;;3;0;1;;water;Non-burrower;0;secondary_burrower;strongly_burrowing
Procambarus pubischelae;Procambarus;cambaridae;24.6;cl;119.83;1.7;;3;0;1;;water;Non-burrower;0;secondary_burrower;strongly_burrowing
Procambarus pygmaeus;Procambarus;cambaridae;21.65;cl;25.5;1.7;;3;0;1;;water;Non-burrower;0;secondary_burrower;strongly_burrowing
Astacoides caldwelli;Astacoides;parastacidae;56.32;cl;147.36;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Astacopsis franklinii;Astacopsis;parastacidae;45.27;cl;77.08;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Astacopsis gouldi;Astacopsis;parastacidae;133.54;cl;1231;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Astacus astacus;Astacus;astacidae;49.66;cl;132.72;2.8;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Astacus leptodactylus;Astacus;astacidae;49.75;cl;226.375;2.739;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Austropotamobius pallipes;Austropotamobius;astacidae;34.51;cl;63.68;2.39;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Austropotamobius torrentium;Austropotamobius;astacidae;33.25;cl;53.04;2.772;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Barbicambarus cornutus;Barbicambarus;cambaridae;50.27;cl;233.5;2.8;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Barbicambarus simmonsi;Barbicambarus;cambaridae;59.4;cl;265.5;3;;;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarellus montezumae;Cambarellus;cambaridae;13.9;cl;43;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarellus puer;Cambarellus;cambaridae;18.02;cl;60.43;1.025;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarellus shufeldtii;Cambarellus;cambaridae;15.39;cl;64.275;1.05;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambaroides japonicus;Cambaroides;cambaroididae;18.41;cl;45.23;2.315;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus chasmodactylus;Cambarus;cambaridae;41.3;cl;66.65;2.7;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus coosae;Cambarus;cambaridae;28.91;cl;112.88;2.3;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus coosawattae;Cambarus;cambaridae;25.725;cl;55.27;2.5;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus fasciatus;Cambarus;cambaridae;36.14;cl;117.4;2.45;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus georgiae;Cambarus;cambaridae;24.6;cl;73;2.45;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus girardianus;Cambarus;cambaridae;33.71;cl;156.14;2.35;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus graysoni;Cambarus;cambaridae;28.7;ocl;105;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus halli;Cambarus;cambaridae;30.525;cl;138.105;2.335;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus hiwasseensis;Cambarus;cambaridae;30.1;cl;63;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus howardi;Cambarus;cambaridae;22.5;cl;58.25;2.25;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus hubbsi;Cambarus;cambaridae;25.33;cl;55.995;2.4;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus longirostris;Cambarus;cambaridae;24.46;cl;47.3;2.2;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus longulus;Cambarus;cambaridae;21.92;cl;65.66;2;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus maculatus;Cambarus;cambaridae;32.31;cl;79.615;2.65;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus nerterius;Cambarus;cambaridae;39;cl;165;2.25;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus parrishi;Cambarus;cambaridae;28.43;cl;76.66;2.4;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus reburrus;Cambarus;cambaridae;26;cl;109;2.05;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus reflexus;Cambarus;cambaridae;35;cl;45;2.35;primary.burrow;1;1;1;;bur;Burrower;1;tertiary_burrower;weakly_burrowing
Cambarus robustus;Cambarus;cambaridae;36.93;cl;123.5;2.625;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus sciotensis;Cambarus;cambaridae;39.7;cl;111;2.65;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus scotti;Cambarus;cambaridae;34.4;cl;110;2.2;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus tenebrosus;Cambarus;cambaridae;44.5;cl;227;3;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cambarus unestami;Cambarus;cambaridae;36.25;cl;159;2.5;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cherax cainii;Cherax;parastacidae;55;ocl;284;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cherax quadricarinatus;Cherax;parastacidae;55;cl;688.8;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Cherax tenuimanus;Cherax;parastacidae;50.5;cl;491.5;;primary.burrow;1;0;1;;bur;Non-burrower;0;tertiary_burrower;weakly_burrowing
Euastacus bidawalus;Euastacus;parastacidae;40;ocl;30;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Euastacus bispinosus;Euastacus;parastacidae;60;ocl;950;;;3;0;1;Only have clutch max value;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Euastacus clarkae;Euastacus;parastacidae;40;ocl;100;;;3;0;1;Only have clutch max value;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Euastacus claytoni;Euastacus;parastacidae;48.17;ocl;129.5;;;2;0;1;;half;Non-burrower;0;tertiary_burrower;weakly_burrowing
Euastacus dangadi;Euastacus;parastacidae;35;ocl;120;;;3;0;1;Only have body size min and clutch max;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Euastacus dharawalus;Euastacus;parastacidae;65.47;ocl;512;;;2;0;1;;half;Non-burrower;0;tertiary_burrower;weakly_burrowing
Euastacus diversus;Euastacus;parastacidae;35;ocl;30;;;3;0;1;Only have body size min and clutch max;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Euastacus fleckeri;Euastacus;parastacidae;66.45;ocl;185;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Euastacus gumar;Euastacus;parastacidae;30;ocl;65;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Euastacus kershawi;Euastacus;parastacidae;50;ocl;950;;;3;0;1;Only have body size min and clutch max;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Euastacus setosus;Euastacus;parastacidae;30;ocl;35;;;3;0;1;Only have body size min;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Euastacus sulcatus;Euastacus;parastacidae;45;ocl;111;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Euastacus suttoni;Euastacus;parastacidae;54.9;ocl;192;;;2;0;1;;half;Non-burrower;0;tertiary_burrower;weakly_burrowing
Euastacus woiwuru;Euastacus;parastacidae;48;ocl;91;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Euastacus yanga;Euastacus;parastacidae;40;ocl;150;;;3;0;1;Only have body size min;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius alabamensis;Faxonius;cambaridae;22.7;cl;95.5;1.8;;;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius causeyi;Faxonius;cambaridae;43;cl;588;1.95;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius chickasawae;Faxonius;cambaridae;28.875;cl;196;1.7;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius cristavarius;Faxonius;cambaridae;21.15;cl;108.25;1.825;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius durelli;Faxonius;cambaridae;25.2;ocl;101.75;2.4;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius erichsonianus;Faxonius;cambaridae;33.9;cl;196.5;2.85;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius etnieri;Faxonius;cambaridae;27.18;cl;155;1.85;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius eupunctus;Faxonius;cambaridae;17.25;cl;65.84;2;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius hylas;Faxonius;cambaridae;23.075;cl;120.02;1.865;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius illinoiensis;Faxonius;cambaridae;24.925;cl;84.25;2;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius immunis;Faxonius;cambaridae;28.77;cl;132.6975;1.7;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius indianensis;Faxonius;cambaridae;28.7;cl;149;1.8;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius jonesi;Faxonius;cambaridae;22.51;cl;74;1.6;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius juvenilis;Faxonius;cambaridae;24.18;cl;141;2.1;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius kentuckiensis;Faxonius;cambaridae;21.825;cl;111.65;1.825;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius limosus;Faxonius;cambaridae;29.8;cl;163;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius luteus;Faxonius;cambaridae;20.1;cl;139.5;1.875;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius marchandi;Faxonius;cambaridae;27.5;cl;65.6;1.7;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius mississippiensis;Faxonius;cambaridae;27.55;cl;134.5;1.85;;;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius neglectus;Faxonius;cambaridae;18.66;cl;161.93;1.8;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius palmeri;Faxonius;cambaridae;22.8;cl;177.5;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius placidus;Faxonius;cambaridae;21.45;cl;136.83;2;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius propinquus;Faxonius;cambaridae;20.37;cl;115.13;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius punctimanus;Faxonius;cambaridae;20.77;cl;425;2.3;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius quadruncus;Faxonius;cambaridae;21.3;cl;62;1.85;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius ronaldi;Faxonius;cambaridae;20.8;cl;194;2;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius rusticus;Faxonius;cambaridae;25.44;cl;187.085;1.85;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius spinosus;Faxonius;cambaridae;28.98;cl;174.33;2;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius stannardi;Faxonius;cambaridae;24.8;cl;154;1.9;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius validus;Faxonius;cambaridae;26.5;cl;161.66;1.72;;;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Faxonius virilis;Faxonius;cambaridae;34.06;cl;265.35;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
